movieNm,director,company,distributor,openDt,nation,screen_cnt,audi_cnt,genre,rating,audi_score,exp_score,holiday,actor1,actor2,actor3,actor4,dir_score,actor1_score,actor2_score,actor3_score,actor4_score,dist_score,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Mystery,Romance,SF,Thriller,War,12_rating,15_rating,20_rating,all_rating
명량,김한민,(주)빅스톤픽쳐스,씨제이이앤엠,2014-07-30,한국,1587,17613682,History,15_rating,8.88,6.29,0,최민식,류승룡,조진웅,진구,17613682,17613682,17613682,17613682,17613682,1281,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",씨제이이앤엠,2019-01-23,한국,1978,16264944,Comedy,15_rating,9.2,6.8,1,류승룡,이하늬,진선규,이동휘,16264944,17613682,16264944,16264944,16264944,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데엔터테인먼트,2017-12-20,한국,1912,14410754,Fantasy,12_rating,8.73,5.92,1,하정우,차태현,주지훈,김향기,14410754,14410754,14410754,14410754,14410754,1340,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠,2014-12-17,한국,966,14245998,Drama,12_rating,9.16,5.81,1,황정민,김윤진,오달수,정진영,14245998,14245998,14245998,14245998,14245998,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
베테랑,류승완,"(주)외유내강,(주)필름케이",씨제이이앤엠,2015-08-05,한국,1064,13395400,Action,15_rating,9.24,7.5,0,황정민,유아인,유해진,오달수,13395400,14245998,13395400,13395400,14245998,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
도둑들,최동훈,(주)케이퍼필름,쇼박스,2012-07-25,한국,1072,12983330,Action,15_rating,7.63,7.05,0,김윤석,김혜수,이정재,전지현,12983330,12983330,12983330,12983330,12983330,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",넥스트엔터테인먼트월드(NEW),2013-01-23,한국,787,12811206,Comedy,15_rating,8.83,6.58,0,류승룡,박신혜,갈소원,오달수,12811206,17613682,12811206,12811206,14245998,1058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
암살,최동훈,(주)케이퍼필름,쇼박스,2015-07-22,한국,1519,12705700,Action,15_rating,9.1,6.57,0,전지현,이정재,하정우,오달수,12983330,12983330,12983330,14410754,14245998,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",씨제이이앤엠,2012-09-13,한국,810,12319542,History,15_rating,9.24,7.27,0,이병헌,류승룡,한효주,김인권,12319542,12319542,17613682,12319542,12319542,1281,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데엔터테인먼트,2018-08-01,한국,2235,12253247,Fantasy,12_rating,8.63,6.31,0,하정우,주지훈,김향기,마동석,14410754,14410754,14410754,14410754,12253247,1340,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
택시운전사,장훈,더램프(주),쇼박스,2017-08-02,한국,1906,12099971,Drama,15_rating,9.28,6.09,0,송강호,토마스 크레취만,유해진,류준열,12099971,12099971,12099971,13395400,12099971,1500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
부산행,연상호,(주)영화사레드피터,넥스트엔터테인먼트월드(NEW),2016-07-20,한국,1788,11565078,Action,15_rating,8.59,7.1,0,공유,정유미,마동석,김수안,11565078,11565078,11565078,12253247,11565078,1058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
변호인,양우석,위더스필름(주),넥스트엔터테인먼트월드(NEW),2013-12-18,한국,923,11372451,Drama,15_rating,9.29,7.43,1,송강호,김영애,오달수,곽도원,11372451,12099971,11372451,14245998,11372451,1058,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
기생충,봉준호,(주)바른손이앤에이,씨제이이앤엠,2019-05-30,한국,1948,10313087,Drama,15_rating,9.07,9.06,0,송강호,이선균,조여정,최우식,10313087,12099971,10313087,10313087,10313087,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",쇼박스,2016-02-03,한국,1812,9699092,Crime,15_rating,8.56,5.94,1,황정민,강동원,이성민,박성웅,9699092,14245998,9699092,9699092,9699092,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
엑시트,이상근,"(주)외유내강,(주)필름케이",씨제이이앤엠,2019-07-31,한국,1660,9426051,Comedy,12_rating,8.99,7.23,0,조정석,윤아,고두심,박인환,9426051,9426051,9426051,9426051,9426051,1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
관상,한재림,"(주)주피터필름,(주)쇼박스",쇼박스,2013-09-11,한국,1190,9134586,History,15_rating,8,6.53,1,송강호,이정재,백윤식,조정석,9134586,12099971,12983330,9134586,9426051,1500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스(유)",씨제이이앤엠,2013-08-01,한국,1128,8914845,SF,15_rating,7.98,7.75,0,크리스 에반스,송강호,에드 해리스,존 허트,10313087,8914845,12099971,8914845,8914845,1281,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",씨제이이앤엠,2014-01-22,한국,692,8656397,Drama,15_rating,9.09,5.86,1,심은경,나문희,박인환,성동일,8656397,8656397,8656397,9426051,8656397,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,롯데엔터테인먼트,2014-08-06,한국,838,8646758,Adventure,12_rating,8.51,5.97,1,김남길,손예진,유해진,이경영,8646758,8646758,8646758,13395400,8646758,1340,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
백두산,이해준,"주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,씨제이이앤엠(주)",씨제이이앤엠,2019-12-19,한국,1971,8252669,Adventure,12_rating,7.47,5.67,1,이병헌,하정우,마동석,전혜진,8252669,12319542,14410754,12253247,8252669,1281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠,2017-01-18,한국,976,7817446,Action,15_rating,8.83,5,1,현빈,유해진,김주혁,장영남,7817446,7817446,13395400,7817446,7817446,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
히말라야,이석훈,(주)제이케이필름,씨제이이앤엠,2015-12-16,한국,1009,7759473,Drama,12_rating,8.67,5.63,1,황정민,정우,조성하,김인권,8646758,14245998,7759473,7759473,12319542,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",워너브러더스 코리아,2016-09-07,한국,1444,7487545,Action,15_rating,8.57,7.5,1,송강호,공유,한지민,엄태구,7487545,12099971,11565078,7487545,7487545,1104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
최종병기 활,김한민,"(주)디씨지플러스,(주)다세포클럽",롯데엔터테인먼트,2011-08-10,한국,615,7466976,History,15_rating,7.87,6.8,1,박해일,류승룡,김무열,문채원,17613682,7466976,17613682,7466976,7466976,1340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
써니,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",씨제이이앤엠,2011-05-04,한국,472,7328820,Drama,15_rating,9.11,6.71,0,유호정,심은경,강소라,고수희,7328820,7328820,8656397,7328820,7328820,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1987,장준환,(주)우정필름,씨제이이앤엠,2017-12-27,한국,1299,7231638,Drama,15_rating,9.31,8.08,1,김윤석,하정우,유해진,김태리,7231638,12983330,14410754,13395400,7231638,1281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
베를린,류승완,"(주)외유내강,씨제이이앤엠(주)",씨제이이앤엠,2013-01-30,한국,894,7166199,Action,15_rating,7.83,7.89,1,하정우,한석규,류승범,전지현,13395400,14410754,7166199,7166199,12983330,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
